class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,label,split
RequestEnvironment,0,0.7,40,3.8,1.0,0,0,2,Clean,test
RequestLocalStream,0,0.4,16,1.0,1.0,0,1,0,Clean,train
RequestLocalEnviron,0,0.45454545454545453,39,1.0,1.0,0,1,0,Clean,train
_Event,0,0.7142857142857143,28,1.25,1.0,0,1,0,Clean,train
ScheduledExecutor,1,0.23809523809523808,80,9.285714285714286,2.4285714285714284,0,0,3,Clean,train
Command,0,0.0,21,9.0,2.0,0,0,0,Clean,train
AutoEscapeControlNode,0,0.0,13,4.5,1.5,0,9,19,Clean,train
CommentNode,0,0.0,2,1.0,1.0,0,9,0,Clean,train
CsrfTokenNode,0,0.0,15,14.0,4.0,0,9,0,Clean,train
CycleNode,0,0.0,12,4.5,2.0,0,10,0,Clean,train
DebugNode,0,0.0,6,5.0,1.0,0,9,0,Clean,train
FilterNode,0,0.0,10,3.5,1.0,0,9,19,Clean,train
FirstOfNode,0,0.0,9,3.0,2.0,0,10,0,Clean,train
ForNode,0,0.0,82,18.25,5.0,0,9,19,Long Method,train
IfChangedNode,0,0.0,30,12.5,4.0,0,9,19,Clean,train
IfEqualNode,0,0.6666666666666666,16,3.0,2.3333333333333335,0,9,19,Clean,test
IfNode,0,0.5,25,4.0,2.0,0,9,20,Clean,train
RegroupNode,0,0.0,18,7.5,1.5,0,10,0,Clean,train
SsiNode,0,0.0,25,11.0,4.0,0,9,19,Clean,train
LoadNode,0,0.0,2,1.0,1.0,0,9,0,Clean,train
NowNode,0,0.0,8,2.5,1.0,0,10,0,Clean,train
SpacelessNode,0,0.0,6,1.5,1.0,0,9,19,Clean,train
TemplateTagNode,0,0.0,15,1.0,1.0,0,10,0,Clean,train
URLNode,0,0.0,40,18.5,4.0,0,10,0,Clean,test
WidthRatioNode,0,0.0,21,9.0,2.5,0,10,0,Clean,test
WithNode,0,0.6666666666666666,15,3.3333333333333335,1.0,0,9,19,Clean,train
TemplateLiteral,0,0.3333333333333333,9,1.3333333333333333,1.0,0,2,0,Clean,train
TemplateIfParser,1,0.0,8,1.5,1.0,0,0,18,Clean,train
CacheNode,0,0.0,23,10.0,2.5,0,0,0,Clean,test
CacheClass,0,0.0,58,7.833333333333333,2.6666666666666665,0,0,0,Clean,train
PLProvinceSelect,0,0.0,6,2.0,1.0,0,5,5,Clean,train
PLCountySelect,0,0.0,6,2.0,1.0,0,5,5,Clean,train
PLPESELField,0,1.0,35,5.333333333333333,2.0,0,5,9,Clean,test
PLNIPField,0,1.0,39,7.333333333333333,2.3333333333333335,0,5,9,Clean,train
PLREGONField,0,1.0,41,8.333333333333334,2.3333333333333335,0,5,9,Clean,train
PLPostalCodeField,0,0.0,11,2.0,1.0,0,5,5,Clean,test
BaseDatabaseWrapper,0,0.8717948717948718,72,3.230769230769231,1.5384615384615385,0,1,3,Clean,train
BaseDatabaseFeatures,0,0.0,15,0.0,0.0,0,0,0,Clean,train
BaseDatabaseOperations,0,0.9988925802879292,376,6.511627906976744,1.2790697674418605,0,1,0,God Class,train
BaseDatabaseIntrospection,0,0.5238095238095238,87,9.857142857142858,3.2857142857142856,0,0,1,Clean,train
BaseDatabaseClient,0,1.0,14,1.5,1.0,0,0,0,Clean,train
BaseDatabaseValidation,0,1.0,9,1.5,1.0,0,0,0,Clean,test
DatabaseClient,0,0.0,9,6.0,2.0,0,0,0,Clean,train
Loader,0,1.0,39,16.5,4.5,0,0,0,Clean,train
View,0,0.5,66,12.75,2.25,0,0,0,Clean,train
TemplateResponseMixin,0,1.0,28,9.5,1.5,0,1,0,Clean,train
TemplateView,0,1.0,11,2.5,1.0,1,1,1,Clean,train
RedirectView,0,0.9523809523809523,52,4.571428571428571,1.7142857142857142,1,0,1,Clean,train
BasePasswordHasher,0,1.0,55,7.0,1.6,0,6,0,Clean,train
PBKDF2PasswordHasher,0,0.0,35,6.333333333333333,1.6666666666666667,1,3,6,Clean,train
