class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,atfd,fdp,fdp_concentration,label,split
InvalidExportData,0,0.0,2,0.0,0.0,1,0,0,0,0,0.0,Clean,test
InvalidImportData,0,0.0,2,0.0,0.0,1,0,0,0,0,0.0,Clean,train
EvaluatedCallable,1,1.0,82,7.666666666666667,1.3333333333333333,0,0,2,1,1,1.0,Clean,test
ConnectorSubOptions,0,0.0,7,0.0,0.0,0,0,0,0,0,0.0,Clean,train
ConnectorOptions,0,0.0,27,7.0,2.0,0,1,3,0,0,0.0,Clean,train
ExportEntry,0,0.0,7,0.0,0.0,0,0,0,0,0,0.0,Clean,train
PropertyEntry,0,0.0,27,14.0,4.0,0,1,3,1,1,1.0,Clean,train
TransformerEntry,0,0.0,57,41.0,11.0,0,2,0,2,2,0.5,Long Method,train
PythonPreambleEntry,0,0.0,26,16.0,2.0,0,2,0,1,1,1.0,Clean,train
BulkloaderEntry,0,0.0,8,0.0,0.0,0,0,0,0,0,0.0,Clean,test
ParsedMethod,0,0.6666666666666666,46,13.666666666666666,2.3333333333333335,0,1,0,1,1,1.0,Clean,train
GQL,1,0.9371069182389937,1345,20.537037037037038,3.7037037037037037,0,0,2,27,17,0.1111,God Class,train
Literal,0,0.0,15,2.3333333333333335,1.0,0,1,0,0,0,0.0,Clean,train
Error,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
ThreadNotRegisteredError,0,0.0,2,0.0,0.0,1,1,0,0,0,0.0,Clean,train
UnknownThrottleNameError,0,0.0,2,0.0,0.0,1,1,0,0,0,0.0,Clean,train
Throttle,2,0.4444444444444444,259,21.2,2.9,0,3,2,4,3,0.5,Long Method,test
ThrottleHandler,0,0.0,127,16.857142857142858,1.5714285714285714,0,2,2,8,3,0.625,Clean,train
ThrottledHttpRpcServer,1,0.0,31,12.0,1.0,0,1,4,2,2,0.5,Clean,train
Throttler,0,1.0,10,4.0,2.0,0,0,0,0,0,0.0,Clean,train
DatastoreThrottler,0,0.6428571428571429,58,3.0,1.25,1,1,4,7,2,0.5714,Clean,train
_BackgroundRequest,0,0.0,51,14.0,1.6666666666666667,0,1,0,0,0,0.0,Clean,train
_BackgroundRequestsContainer,1,0.7,41,6.8,1.2,0,0,3,2,1,1.0,Clean,test
RequestEnvironment,0,0.7,41,4.8,1.0,0,0,2,0,0,0.0,Clean,train
RequestLocalStream,0,0.4,17,2.0,1.0,0,1,0,0,0,0.0,Clean,test
RequestLocalEnviron,0,0.45454545454545453,40,2.0,1.0,0,1,0,0,0,0.0,Clean,train
_Event,0,0.7142857142857143,29,2.25,1.0,0,1,0,1,1,1.0,Clean,train
ScheduledExecutor,1,0.23809523809523808,81,10.285714285714286,2.4285714285714284,0,0,3,6,2,0.6667,Clean,train
Command,0,0.0,22,10.0,2.0,0,0,0,2,2,0.5,Clean,train
Serializer,0,0.39285714285714285,60,5.75,2.0,0,0,0,11,4,0.3636,Clean,train
AutoEscapeControlNode,0,0.0,14,5.5,1.5,0,9,19,1,1,1.0,Clean,train
CommentNode,0,0.0,3,2.0,1.0,0,9,0,0,0,0.0,Clean,test
CsrfTokenNode,0,0.0,16,15.0,4.0,0,9,0,2,2,0.5,Clean,train
CycleNode,0,0.0,13,5.5,2.0,0,10,0,2,2,0.5,Clean,test
DebugNode,0,0.0,7,6.0,1.0,0,9,0,0,0,0.0,Clean,train
FilterNode,0,0.0,11,4.5,1.0,0,9,19,2,1,1.0,Clean,test
FirstOfNode,0,0.0,10,4.0,2.0,0,10,0,1,1,1.0,Clean,test
ForNode,0,0.0,83,19.25,5.0,0,9,19,6,3,0.5,Long Method,train
IfChangedNode,0,0.0,31,13.5,4.0,0,9,19,1,1,1.0,Clean,train
IfEqualNode,0,0.6666666666666666,17,4.0,2.3333333333333335,0,9,19,0,0,0.0,Clean,train
IfNode,0,0.5,26,5.0,2.0,0,9,20,0,0,0.0,Clean,train
RegroupNode,0,0.0,19,8.5,1.5,0,10,0,0,0,0.0,Clean,train
SsiNode,0,0.0,26,12.0,4.0,0,9,19,4,3,0.5,Clean,train
LoadNode,0,0.0,3,2.0,1.0,0,9,0,0,0,0.0,Clean,train
NowNode,0,0.0,9,3.5,1.0,0,10,0,2,2,0.5,Clean,train
SpacelessNode,0,0.0,7,2.5,1.0,0,9,19,0,0,0.0,Clean,test
TemplateTagNode,0,0.0,16,2.0,1.0,0,10,0,0,0,0.0,Clean,train
URLNode,0,0.0,41,19.5,4.0,0,10,0,4,4,0.25,Clean,train
WidthRatioNode,0,0.0,22,10.0,2.5,0,10,0,0,0,0.0,Clean,train
WithNode,0,0.6666666666666666,16,4.333333333333333,1.0,0,9,19,2,1,1.0,Clean,train
TemplateLiteral,0,0.3333333333333333,10,2.3333333333333335,1.0,0,2,0,0,0,0.0,Clean,train
TemplateIfParser,1,0.0,9,2.5,1.0,0,0,18,0,0,0.0,Clean,train
CacheNode,0,0.0,24,11.0,2.5,0,0,0,3,2,0.6667,Clean,test
CacheClass,0,0.0,59,8.833333333333334,2.6666666666666665,0,0,0,1,1,1.0,Clean,test
PLProvinceSelect,0,0.0,7,3.0,1.0,0,5,5,0,0,0.0,Clean,train
PLCountySelect,0,0.0,7,3.0,1.0,0,5,5,0,0,0.0,Clean,test
PLPESELField,0,1.0,36,6.333333333333333,2.0,0,5,9,0,0,0.0,Clean,test
PLNIPField,0,1.0,40,8.333333333333334,2.3333333333333335,0,5,9,0,0,0.0,Clean,train
PLREGONField,0,1.0,42,9.333333333333334,2.3333333333333335,0,5,9,0,0,0.0,Clean,train
PLPostalCodeField,0,0.0,12,3.0,1.0,0,5,5,0,0,0.0,Clean,train
DjangoSafeDumper,0,0.0,3,2.0,1.0,0,0,0,0,0,0.0,Clean,train
Serializer,0,0.6666666666666666,24,5.0,1.6666666666666667,0,0,0,2,2,0.5,Clean,train
BaseDatabaseWrapper,0,0.8717948717948718,73,4.230769230769231,1.5384615384615385,0,1,3,3,3,0.3333,Clean,train
BaseDatabaseFeatures,0,0.0,16,0.0,0.0,0,0,0,0,0,0.0,Data Class,train
BaseDatabaseOperations,0,0.9988925802879292,377,7.511627906976744,1.2790697674418605,0,1,0,8,7,0.25,God Class,train
BaseDatabaseIntrospection,0,0.5238095238095238,88,10.857142857142858,3.2857142857142856,0,0,1,9,5,0.3333,Clean,test
BaseDatabaseClient,0,1.0,15,2.5,1.0,0,0,0,0,0,0.0,Clean,train
BaseDatabaseValidation,0,1.0,10,2.5,1.0,0,0,0,0,0,0.0,Clean,train
DatabaseClient,0,0.0,10,7.0,2.0,0,0,0,0,0,0.0,Clean,train
Loader,0,1.0,40,17.5,4.5,0,0,0,4,2,0.5,Clean,train
View,0,0.5,67,13.75,2.25,0,0,0,6,5,0.3333,Clean,train
TemplateResponseMixin,0,1.0,29,10.5,1.5,0,1,0,0,0,0.0,Clean,test
TemplateView,0,1.0,12,3.5,1.0,1,1,1,0,0,0.0,Clean,train
RedirectView,0,0.9523809523809523,53,5.571428571428571,1.7142857142857142,1,0,1,4,2,0.75,Clean,train
osx_install_data,0,0.0,12,6.0,1.0,0,0,0,0,0,0.0,Clean,train
BasePasswordHasher,0,1.0,56,8.0,1.6,0,6,0,1,1,1.0,Clean,train
PBKDF2PasswordHasher,0,0.0,36,7.333333333333333,1.6666666666666667,1,3,6,2,2,0.5,Clean,test
PBKDF2SHA1PasswordHasher,0,0.0,9,0.0,0.0,2,0,0,0,0,0.0,Clean,test
BCryptPasswordHasher,0,0.5,38,5.5,1.0,1,4,1,3,2,0.6667,Clean,train
SHA1PasswordHasher,0,0.0,26,6.0,1.3333333333333333,1,3,6,1,1,1.0,Clean,test
MD5PasswordHasher,0,0.0,26,6.0,1.3333333333333333,1,3,6,1,1,1.0,Clean,train
UnsaltedMD5PasswordHasher,0,1.0,26,3.0,1.0,1,3,6,0,0,0.0,Clean,train
CryptPasswordHasher,0,0.5,33,5.25,1.0,1,4,1,2,2,0.5,Clean,train
GeometryColumns,0,1.0,28,4.666666666666667,1.0,0,0,0,0,0,0.0,Clean,train
SpatialRefSys,0,1.0,23,2.0,1.0,0,0,0,0,0,0.0,Clean,train
